"","Id","Id2","age60_perc","bachelor_perc","Geography","Year","est.white.percent","est.black.percent"
"103","0500000US06007",6007,22.2,7.4,"Butte County, California",2016,0.828214261,0.015705445
"104","0500000US06007",6007,22.2,7.4,"Butte County, California",2017,0.810928328,0.018264761
"105","0500000US06007",6007,22.2,19704,"Butte County, California",2010,0.840097786,0.014027227
"106","0500000US06007",6007,22.2,19704,"Butte County, California",2011,0.832080303,0.01443709
"107","0500000US06007",6007,22.2,19704,"Butte County, California",2012,0.849069464,0.015460032
"108","0500000US06007",6007,22.2,19704,"Butte County, California",2013,0.833837633,0.015020937
"109","0500000US06007",6007,22.2,19704,"Butte County, California",2014,0.819372907,0.015911452
"110","0500000US06007",6007,22.2,19704,"Butte County, California",2015,0.827515072,0.011450195
"111","0500000US06007",6007,22.2,19704,"Butte County, California",2016,0.828214261,0.015705445
"112","0500000US06007",6007,22.2,19704,"Butte County, California",2017,0.810928328,0.018264761
"113","0500000US06007",6007,22.2,19100,"Butte County, California",2010,0.840097786,0.014027227
"114","0500000US06007",6007,22.2,19100,"Butte County, California",2011,0.832080303,0.01443709
"115","0500000US06007",6007,22.2,19100,"Butte County, California",2012,0.849069464,0.015460032
"116","0500000US06007",6007,22.2,19100,"Butte County, California",2013,0.833837633,0.015020937
"117","0500000US06007",6007,22.2,19100,"Butte County, California",2014,0.819372907,0.015911452
"118","0500000US06007",6007,22.2,19100,"Butte County, California",2015,0.827515072,0.011450195
"119","0500000US06007",6007,22.2,19100,"Butte County, California",2016,0.828214261,0.015705445
"120","0500000US06007",6007,22.2,19100,"Butte County, California",2017,0.810928328,0.018264761
"121","0500000US06007",6007,22.2,16507,"Butte County, California",2010,0.840097786,0.014027227
"122","0500000US06007",6007,22.2,16507,"Butte County, California",2011,0.832080303,0.01443709
"123","0500000US06007",6007,22.2,16507,"Butte County, California",2012,0.849069464,0.015460032
"124","0500000US06007",6007,22.2,16507,"Butte County, California",2013,0.833837633,0.015020937
"125","0500000US06007",6007,22.2,16507,"Butte County, California",2014,0.819372907,0.015911452
"126","0500000US06007",6007,22.2,16507,"Butte County, California",2015,0.827515072,0.011450195
"127","0500000US06007",6007,22.2,16507,"Butte County, California",2016,0.828214261,0.015705445
"128","0500000US06007",6007,22.2,16507,"Butte County, California",2017,0.810928328,0.018264761
"129","0500000US06013",6013,18.3,7.6,"Contra Costa County, California",2010,0.641884184,0.092585012
"130","0500000US06013",6013,18.3,7.6,"Contra Costa County, California",2011,0.638599151,0.091686865
"131","0500000US06013",6013,18.3,7.6,"Contra Costa County, California",2012,0.628441909,0.090426335
"132","0500000US06013",6013,18.3,7.6,"Contra Costa County, California",2013,0.610719198,0.088440466
"133","0500000US06013",6013,18.3,7.6,"Contra Costa County, California",2014,0.593695533,0.084728422
"134","0500000US06013",6013,18.3,7.6,"Contra Costa County, California",2015,0.567703429,0.089065405
"135","0500000US06013",6013,18.3,7.6,"Contra Costa County, California",2016,0.580421398,0.085816829
"136","0500000US06013",6013,18.3,7.6,"Contra Costa County, California",2017,0.57138898,0.082105454
"137","0500000US06013",6013,18.3,8.4,"Contra Costa County, California",2010,0.641884184,0.092585012
"138","0500000US06013",6013,18.3,8.4,"Contra Costa County, California",2011,0.638599151,0.091686865
"139","0500000US06013",6013,18.3,8.4,"Contra Costa County, California",2012,0.628441909,0.090426335
"140","0500000US06013",6013,18.3,8.4,"Contra Costa County, California",2013,0.610719198,0.088440466
"141","0500000US06013",6013,18.3,8.4,"Contra Costa County, California",2014,0.593695533,0.084728422
"142","0500000US06013",6013,18.3,8.4,"Contra Costa County, California",2015,0.567703429,0.089065405
